Variable,Coef (OLS),SE (OLS),Coef (FE1W),SE (FE1W),Coef (FE2W),SE (FE2W),Coef (RE),SE (RE)
Constant,0.9243***,(0.1696),,,,,1.3398***,(0.1838)
Leverage,0.0152,(0.0414),-0.0180,(0.0603),-0.0274,(0.0591),0.0257,(0.0494)
ln(Capital),-0.0873***,(0.0198),0.0365,(0.0267),0.1117***,(0.0400),0.0266,(0.0220)
ln(Labor),0.7153***,(0.0293),0.5050***,(0.0502),0.4841***,(0.0497),0.6247***,(0.0355)
ln(Size),0.4700***,(0.0292),0.2675***,(0.0482),0.2572***,(0.0511),0.4045***,(0.0318)
ln(Wage),0.5337***,(0.0329),0.3454***,(0.0441),0.3564***,(0.0490),0.4067***,(0.0368)
R² (within),0.2663,,,,,,,
R² (within),,,0.3439,,,,,
R² (within),,,,,0.3378,,,
R² (within),,,,,,,0.3174,
Observations,2294,,2294,,2294,,2294,
Unique Firms,590,,590,,590,,590,
Hausman p-value,,,0.0000,,,,,
